"rep","method","rJ","rI1","rI2","eJ1","eJ2","eI1","eI2","time","error"
1,"PPD",4,2,5,1.52613614702438,0.18315113696543,1.19976688120171,0.0903462383365437,192.512,NA
1,"BIDIFAC+",7,5,4,1.1315244605486,0.185502460524666,1.09805344379209,0.150508620873601,180.123,NA
2,"PPD",4,2,5,1.54101191558741,0.177484688453514,1.20809241423191,0.0900421538078723,195.888,NA
2,"BIDIFAC+",6,4,4,1.1070390827075,0.17500083188229,1.05975032643356,0.152236495017807,191.966,NA
3,"PPD",4,2,5,1.52753464784499,0.175446980168766,1.19663156832125,0.0891652445519121,195.756,NA
3,"BIDIFAC+",6,5,5,1.16046759071873,0.172896855399939,1.12176956028593,0.152444251481167,121.143,NA
4,"PPD",4,2,5,1.50643845656523,0.179660135187679,1.19651369894641,0.0891926699575144,114.805,NA
4,"BIDIFAC+",6,4,4,1.06979453539486,0.176296638392079,1.03954871917422,0.149891001610103,211.123,NA
5,"PPD",4,2,5,1.52543671363851,0.18068573502958,1.18753317989922,0.0897744251764199,137.647,NA
5,"BIDIFAC+",6,4,4,1.07970780193375,0.17862131175112,1.03376565273377,0.150015908454416,177.697,NA
6,"PPD",4,2,5,1.55905837029614,0.177605294870109,1.21594089225566,0.0894668669024776,151.166,NA
6,"BIDIFAC+",7,4,5,1.12514306944675,0.172875419442916,1.07780822372883,0.151699454624922,120.766,NA
7,"PPD",5,1,4,1.39452290818777,0.267944160910214,1.0624078854471,0.117146507167481,201.659,NA
7,"BIDIFAC+",7,4,4,1.12499230232675,0.173749038432491,1.08935166836171,0.150960396834689,210.282,NA
8,"PPD",4,2,5,1.54858295263722,0.177070251799907,1.20117261850087,0.088736626524836,151.514,NA
8,"BIDIFAC+",6,5,5,1.11543868277011,0.175424950633095,1.06324143855638,0.151704744988073,122.442,NA
9,"PPD",4,2,5,1.53189781768781,0.180949484594203,1.19534169981305,0.0907901967972517,111.492,NA
9,"BIDIFAC+",6,5,4,1.16620714212514,0.174160932024099,1.12523326863619,0.15207280195475,125.768,NA
10,"PPD",4,2,5,1.50985466882921,0.18205759813574,1.19123303516205,0.088494034550465,202.994,NA
10,"BIDIFAC+",6,4,4,1.15936051661901,0.174239557630947,1.13188376295862,0.149797375663823,187.657,NA
