"rep","method","rG","r12","r13","r23","rI1","rI2","rI3","eG","e12","e13","e23","eI1","eI2","eI3","time","error"
1,"PPD",4,1,1,4,0,0,3,0.0819138725326757,0.041519924660543,0.0770964901152287,0.246629873728721,1,1,0.0681896292356469,607.681,NA
1,"BIDIFAC+",4,1,4,8,1,1,12,0.226906398782618,0.0370499881248739,0.541953923556092,0.109678586592002,0.380438669559112,0.999140344712925,0.177426538507669,1504.09,NA
2,"PPD",4,1,1,3,0,1,4,0.193544499599192,0.387141028900522,0.0389718468409294,0.192845161270546,1,0.869437873028055,0.0510832447417279,607.735,NA
2,"BIDIFAC+",4,1,5,7,2,1,12,0.233185641445285,0.0380718791351534,0.582025195552631,0.113592579104837,0.376212949056307,0.998591522631,0.176540004856177,1640.466,NA
3,"PPD",4,1,1,3,0,1,4,0.205143551169826,0.400482439161759,0.106966056331849,0.152193910319054,1,0.913137265463242,0.0586614250428705,608.497,NA
3,"BIDIFAC+",5,1,5,8,2,1,12,0.210718713358973,0.0360983451384912,0.447653028219852,0.108377261841622,0.357965916176073,0.999847498991493,0.180038442625974,1647.233,NA
4,"PPD",4,1,1,3,0,1,4,0.0845200715622032,0.0179163040631304,0.069932156430528,0.156990502414925,1,0.78700934899701,0.0491152654727387,606.751,NA
4,"BIDIFAC+",4,1,4,7,2,1,11,0.224575970935092,0.0375386030672139,0.57146165817195,0.112201607718532,0.398554994498078,0.999516787411699,0.175271468681827,1557.702,NA
5,"PPD",4,1,1,2,0,2,5,0.421555648788819,1.05637852004619,0.0803485369214839,0.0251392654454597,1,0.375636776851804,0.0177864311391099,612.276,NA
5,"BIDIFAC+",4,1,5,7,2,1,12,0.231973210788188,0.0366986730236243,0.585039148781207,0.111485169065098,0.377495498402565,0.997515526976523,0.168794130121306,1597.608,NA
6,"PPD",4,1,1,3,0,1,4,0.360120687305165,0.884662329130873,0.0917028925053625,0.19999287473203,1,0.852295263474923,0.0525581690364839,607.231,NA
6,"BIDIFAC+",4,1,4,7,2,1,12,0.228053011242537,0.0364888319690088,0.553896869229869,0.108837944774286,0.361891379779695,0.998472537139158,0.177446088210733,2591.086,NA
7,"PPD",4,1,1,3,0,1,4,0.34131456502017,0.843693603697575,0.047324463374445,0.160893228027866,1,0.855268733804103,0.0452767084136685,1118.96,NA
7,"BIDIFAC+",4,1,4,8,2,1,12,0.21551540038179,0.0384565194230025,0.512177264741524,0.105572125052047,0.374786764164478,0.998776376721918,0.172451648295293,2706.95,NA
8,"PPD",4,1,1,2,0,2,5,0.417286308897611,1.07377532345086,0.278969466163294,0.0946651692990161,1,0.698774334718732,0.0366820369325043,611.876,NA
8,"BIDIFAC+",3,1,5,7,2,1,12,0.225313509832275,0.0374225319719012,0.561908853569013,0.109045713515514,0.372897578516725,0.999693369551652,0.177577703377842,1625.347,NA
9,"PPD",4,1,1,3,0,1,4,0.31600246457043,0.772251385055361,0.0719750075510997,0.155890699537563,1,0.814458774038125,0.0449136876065328,1117.25,NA
9,"BIDIFAC+",5,1,5,8,2,1,12,0.209718133953037,0.0379509229556686,0.460690378574418,0.106010049505284,0.382147319550358,0.99930175398164,0.182135904329893,2764.074,NA
10,"PPD",4,1,1,4,0,0,3,0.110563327536873,0.0513528927773344,0.052385589126493,0.196526263927135,1,1,0.0656816098586735,1127.82,NA
10,"BIDIFAC+",4,1,5,8,1,1,12,0.205865613701118,0.0355208799097806,0.466247481245225,0.101697908111166,0.378041377961632,0.999931881908689,0.179456246944464,2025.282,NA
11,"PPD",4,1,1,3,0,1,4,0.103521510236152,0.0806675833974515,0.0913551786013684,0.163920712993204,1,0.790533433055269,0.0523609847074894,620.635,NA
11,"BIDIFAC+",4,1,4,8,2,1,12,0.214850426620992,0.0386819278617392,0.494957924101561,0.109344736729702,0.362179091503303,0.999427850548443,0.181884793911553,1548.072,NA
12,"PPD",4,1,1,3,0,1,4,0.243059680690521,0.517890628877356,0.120463666258307,0.198814346189073,1,0.885481421778888,0.0568337596658762,607.589,NA
12,"BIDIFAC+",4,1,4,7,1,1,12,0.223549309315421,0.0392442982640276,0.558473150473935,0.113897306034447,0.373506174524057,0.999261398966196,0.176417702641644,1648.11,NA
13,"PPD",4,1,1,3,0,1,4,0.0935993398372225,0.101467897825944,0.102941661245385,0.173975393877111,1,0.817460583293253,0.0531157641616853,622.494,NA
13,"BIDIFAC+",3,1,4,8,1,1,12,0.207170490132759,0.0364505589609478,0.442844985719537,0.102460437790515,0.365008055675894,0.998281049776777,0.181571842547478,2213.54,NA
14,"PPD",4,1,1,3,0,1,4,0.348184095247761,0.861315100687196,0.140438540605967,0.217865864830806,1,0.946381534774432,0.0586802608032138,1117.151,NA
14,"BIDIFAC+",4,1,5,8,2,1,12,0.21743301354042,0.0388023175161823,0.508261875522455,0.113322238450177,0.388759383344702,0.998879056113508,0.174898673117403,2724.383,NA
15,"PPD",4,1,1,3,0,1,4,0.406435589507137,1.01173168225089,0.03956314936941,0.165983064073481,1,0.766181925104594,0.0467985864948446,606.098,NA
15,"BIDIFAC+",5,1,6,7,2,1,12,0.213331914033901,0.0372012560636996,0.506472313600316,0.100104040405632,0.415315395153374,0.99962848740948,0.180611437316186,1654.598,NA
16,"PPD",4,1,1,3,0,1,4,0.330720052461925,0.790793202206689,0.13143612778134,0.176503980781342,1,0.753780356471762,0.0488871751157078,1125.939,NA
16,"BIDIFAC+",5,2,4,7,2,1,12,0.216502609183273,0.0386810407527354,0.521029952701223,0.107851456793323,0.37385048590742,0.998839468913289,0.174654617991294,2614.045,NA
17,"PPD",4,1,1,3,0,1,4,0.234721530912885,0.496791825407347,0.148154187229553,0.198452329159409,1,0.873276195584017,0.0563835479328676,1124.226,NA
