"rep","d","ang","ang_deg","method","rJ","rI1","rI2","eJ1","eJ2","eI1","eI2","time","error"
1,0.1,0,0,"PPD",1,5,8,0.800185838888386,0.896202996662674,3.24697592563535,2.12387189727881,229.112,NA
2,0.1,0,0,"PPD",1,5,8,0.952829529107666,0.922801997837657,3.42351072004989,2.05430297437293,207.97,NA
3,0.1,0,0,"PPD",1,5,8,0.929901764597277,0.916995676217316,3.41531045957473,2.09876790645573,218.554,NA
4,0.1,0,0,"PPD",1,5,8,0.949686276360497,0.91402662508168,3.41723936771242,2.04030972120296,202.331,NA
5,0.1,0,0,"PPD",1,5,8,0.954660493283849,0.947086298249207,3.37248050103094,2.04888352990371,182.31,NA
6,0.1,0,0,"PPD",1,5,8,0.81398148193694,0.913408397817557,3.28380577309576,2.07063119702093,195.786,NA
7,0.1,0,0,"PPD",1,5,8,0.850090026802084,0.907747228463429,3.3463598919809,2.07498333999218,191.115,NA
8,0.1,0,0,"PPD",1,5,8,0.84619121847077,0.907264075340473,3.32333398530779,2.07497789483492,159.03,NA
9,0.1,0,0,"PPD",2,4,7,1.00684422561105,1.16167944908211,2.7418173404454,1.76395845903117,194.37,NA
10,0.1,0,0,"PPD",1,5,8,0.84211896937155,0.995376774150897,3.3696465242949,2.12057784819602,162.43,NA
11,0.1,0,0,"PPD",1,5,8,1.05785424718719,0.986883534137023,3.47073265888037,2.08746674599559,210.275,NA
12,0.1,0,0,"PPD",1,5,8,0.835270679157087,0.907133635647223,3.29725471264251,2.10060881998942,207.95,NA
13,0.1,0,0,"PPD",1,5,8,0.833031503026474,0.931898773198129,3.31621594510341,2.10768595676011,199.78,NA
14,0.1,0,0,"PPD",1,5,8,0.83835921264154,1.02794312540576,3.3221370483447,2.12246414890152,184.324,NA
15,0.1,0,0,"PPD",1,5,8,0.875296794785346,0.993087110759752,3.39385841165456,2.06643220755555,216.625,NA
16,0.1,0,0,"PPD",1,5,8,0.85580227002565,0.919769775259114,3.30039235107647,2.12179519751332,200.365,NA
17,0.1,0,0,"PPD",1,5,8,0.803188705887545,0.903185475710796,3.20756081744089,2.0882002179255,161.097,NA
18,0.1,0,0,"PPD",1,5,8,0.840588953410151,0.894485485082014,3.28382769048538,2.09059377825653,202.951,NA
19,0.1,0,0,"PPD",1,5,8,0.871111421887134,0.976667270123676,3.31592288103405,2.14816256324846,225.696,NA
20,0.1,0,0,"PPD",1,5,8,0.953650958258682,0.996964461666233,3.46173064045978,2.04728482940472,168.931,NA
21,0.1,0,0,"PPD",1,5,8,0.843829048582688,0.957293599214536,3.37033509161452,2.08778427469118,208.344,NA
22,0.1,0,0,"PPD",1,5,8,0.820376416963078,0.978470092499122,3.26475512314723,2.12203527051248,211.715,NA
23,0.1,0,0,"PPD",1,5,8,0.888276057452718,0.971999927077524,3.3528724814879,2.07452141656717,223.293,NA
24,0.1,0,0,"PPD",1,5,8,0.864175334554224,0.920231595263782,3.28105570100775,2.09417317385465,162.695,NA
25,0.1,0,0,"PPD",1,5,8,0.954260535969629,0.970003813199404,3.36658444038592,2.12468073806682,236.775,NA
26,0.1,0,0,"PPD",1,5,8,0.877002439458597,0.915338391350822,3.31791867790134,2.06716879516052,188.115,NA
27,0.1,0,0,"PPD",2,4,7,0.80694068215082,0.986667267281888,2.52831014641388,1.79749421085208,184.143,NA
28,0.1,0,0,"PPD",1,5,8,0.885805811184521,0.917834116422711,3.37433881803987,2.11825232409809,194.248,NA
29,0.1,0,0,"PPD",1,5,8,0.957955981561973,1.00708649941722,3.3734875317065,2.08736445846636,181.565,NA
30,0.1,0,0,"PPD",1,5,8,0.901808037390089,0.96552387441214,3.45099537416221,2.10018591385285,197.999,NA
31,0.1,0,0,"PPD",1,5,8,0.819436812501419,0.892533597660878,3.2624615632115,2.0551091002033,189.182,NA
32,0.1,0,0,"PPD",1,5,8,0.874745843929127,0.968997554564724,3.36429844546753,2.0822266750166,205.004,NA
33,0.1,0,0,"PPD",1,5,8,0.905678478652985,1.00924296076787,3.33831227648966,2.0876196387489,218.318,NA
34,0.1,0,0,"PPD",1,5,8,0.947712001454763,0.893511935654707,3.44610101755213,2.10645339973745,209.439,NA
35,0.1,0,0,"PPD",1,5,8,0.950799686102251,0.932729227516189,3.29856601581945,2.07652758918548,226.58,NA
36,0.1,0,0,"PPD",1,5,8,0.864812208514997,0.979044370190107,3.26495195272913,2.09371297487623,197.921,NA
37,0.1,0,0,"PPD",1,5,8,0.855723687849342,0.997338541746746,3.34301230033685,2.10767732369937,198.218,NA
38,0.1,0,0,"PPD",1,5,8,0.89266296778163,0.945882351865438,3.38468081357356,2.08762605161979,216.377,NA
39,0.1,0,0,"PPD",1,5,8,0.852017634704708,0.974574185422713,3.24590937042289,2.07974879508365,201.931,NA
40,0.1,0,0,"PPD",1,5,8,0.884939746672525,0.944988346785943,3.35689876164713,2.12397879851729,231.52,NA
41,0.1,0,0,"PPD",1,5,8,0.83070846364383,0.90380435239825,3.30292965622988,2.06728245911113,202.404,NA
42,0.1,0,0,"PPD",1,5,8,0.932985476898792,1.08329154739323,3.45055043636447,2.09739987151501,193.143,NA
43,0.1,0,0,"PPD",1,5,8,0.837933408139646,0.946156222107602,3.26018962872681,2.09420885799251,193.773,NA
44,0.1,0,0,"PPD",1,5,8,0.895239051254207,0.942587108061316,3.38119876662121,2.06779518294108,213.743,NA
45,0.1,0,0,"PPD",1,5,8,0.940294059315176,0.951223820488885,3.42257144407524,2.07849150664494,232.134,NA
46,0.1,0,0,"PPD",1,5,8,0.943416551818429,0.969443397146449,3.43796595211161,2.10571849370458,241.186,NA
47,0.1,0,0,"PPD",1,5,8,0.819191718880611,0.90086246976675,3.28780452515063,2.10225761242993,219.397,NA
